"Year","COUNTY","GISJOIN","STATE","STATEFP","STATENH","COUNTYFP","COUNTYNH","Population"
2014,"Kennebec County",NA,NA,NA,NA,NA,NA,122747.4
2015,"Kennebec County",NA,NA,NA,NA,NA,NA,122896.5
2016,"Kennebec County",NA,NA,NA,NA,NA,NA,123045.6
2017,"Kennebec County",NA,NA,NA,NA,NA,NA,123194.7
2018,"Kennebec County",NA,NA,NA,NA,NA,NA,123343.8
2019,"Kennebec County",NA,NA,NA,NA,NA,NA,123492.9
2020,"Kennebec County","G2300110","Maine",23,230,11,110,123642
1950,"Knox County","G2300130","Maine",23,230,13,130,28121
1951,"Knox County",NA,NA,NA,NA,NA,NA,28166.4
1952,"Knox County",NA,NA,NA,NA,NA,NA,28211.8
1953,"Knox County",NA,NA,NA,NA,NA,NA,28257.2
1954,"Knox County",NA,NA,NA,NA,NA,NA,28302.6
1955,"Knox County",NA,NA,NA,NA,NA,NA,28348
1956,"Knox County",NA,NA,NA,NA,NA,NA,28393.4
1957,"Knox County",NA,NA,NA,NA,NA,NA,28438.8
1958,"Knox County",NA,NA,NA,NA,NA,NA,28484.2
1959,"Knox County",NA,NA,NA,NA,NA,NA,28529.6
1960,"Knox County","G2300130","Maine",23,230,13,130,28575
1961,"Knox County",NA,NA,NA,NA,NA,NA,28618.8
1962,"Knox County",NA,NA,NA,NA,NA,NA,28662.6
1963,"Knox County",NA,NA,NA,NA,NA,NA,28706.4
1964,"Knox County",NA,NA,NA,NA,NA,NA,28750.2
1965,"Knox County",NA,NA,NA,NA,NA,NA,28794
1966,"Knox County",NA,NA,NA,NA,NA,NA,28837.8
1967,"Knox County",NA,NA,NA,NA,NA,NA,28881.6
1968,"Knox County",NA,NA,NA,NA,NA,NA,28925.4
1969,"Knox County",NA,NA,NA,NA,NA,NA,28969.2
1970,"Knox County","G2300130","Maine",23,230,13,130,29013
1971,"Knox County",NA,NA,NA,NA,NA,NA,29405.8
1972,"Knox County",NA,NA,NA,NA,NA,NA,29798.6
1973,"Knox County",NA,NA,NA,NA,NA,NA,30191.4
1974,"Knox County",NA,NA,NA,NA,NA,NA,30584.2
1975,"Knox County",NA,NA,NA,NA,NA,NA,30977
1976,"Knox County",NA,NA,NA,NA,NA,NA,31369.8
1977,"Knox County",NA,NA,NA,NA,NA,NA,31762.6
1978,"Knox County",NA,NA,NA,NA,NA,NA,32155.4
1979,"Knox County",NA,NA,NA,NA,NA,NA,32548.2
1980,"Knox County","G2300130","Maine",23,230,13,130,32941
1981,"Knox County",NA,NA,NA,NA,NA,NA,33277.9
1982,"Knox County",NA,NA,NA,NA,NA,NA,33614.8
1983,"Knox County",NA,NA,NA,NA,NA,NA,33951.7
1984,"Knox County",NA,NA,NA,NA,NA,NA,34288.6
1985,"Knox County",NA,NA,NA,NA,NA,NA,34625.5
1986,"Knox County",NA,NA,NA,NA,NA,NA,34962.4
1987,"Knox County",NA,NA,NA,NA,NA,NA,35299.3
1988,"Knox County",NA,NA,NA,NA,NA,NA,35636.2
1989,"Knox County",NA,NA,NA,NA,NA,NA,35973.1
1990,"Knox County","G2300130","Maine",23,230,13,130,36310
1991,"Knox County",NA,NA,NA,NA,NA,NA,36640.8
1992,"Knox County",NA,NA,NA,NA,NA,NA,36971.6
1993,"Knox County",NA,NA,NA,NA,NA,NA,37302.4
1994,"Knox County",NA,NA,NA,NA,NA,NA,37633.2
1995,"Knox County",NA,NA,NA,NA,NA,NA,37964
1996,"Knox County",NA,NA,NA,NA,NA,NA,38294.8
1997,"Knox County",NA,NA,NA,NA,NA,NA,38625.6
1998,"Knox County",NA,NA,NA,NA,NA,NA,38956.4
1999,"Knox County",NA,NA,NA,NA,NA,NA,39287.2
2000,"Knox County","G2300130","Maine",23,230,13,130,39618
2001,"Knox County",NA,NA,NA,NA,NA,NA,39629.8
2002,"Knox County",NA,NA,NA,NA,NA,NA,39641.6
2003,"Knox County",NA,NA,NA,NA,NA,NA,39653.4
2004,"Knox County",NA,NA,NA,NA,NA,NA,39665.2
2005,"Knox County",NA,NA,NA,NA,NA,NA,39677
2006,"Knox County",NA,NA,NA,NA,NA,NA,39688.8
2007,"Knox County",NA,NA,NA,NA,NA,NA,39700.6
2008,"Knox County",NA,NA,NA,NA,NA,NA,39712.4
2009,"Knox County",NA,NA,NA,NA,NA,NA,39724.2
2010,"Knox County","G2300130","Maine",23,230,13,130,39736
2011,"Knox County",NA,NA,NA,NA,NA,NA,39823.1
2012,"Knox County",NA,NA,NA,NA,NA,NA,39910.2
2013,"Knox County",NA,NA,NA,NA,NA,NA,39997.3
2014,"Knox County",NA,NA,NA,NA,NA,NA,40084.4
2015,"Knox County",NA,NA,NA,NA,NA,NA,40171.5
2016,"Knox County",NA,NA,NA,NA,NA,NA,40258.6
2017,"Knox County",NA,NA,NA,NA,NA,NA,40345.7
2018,"Knox County",NA,NA,NA,NA,NA,NA,40432.8
2019,"Knox County",NA,NA,NA,NA,NA,NA,40519.9
2020,"Knox County","G2300130","Maine",23,230,13,130,40607
1950,"Lincoln County","G2300150","Maine",23,230,15,150,18004
1951,"Lincoln County",NA,NA,NA,NA,NA,NA,18053.3
1952,"Lincoln County",NA,NA,NA,NA,NA,NA,18102.6
1953,"Lincoln County",NA,NA,NA,NA,NA,NA,18151.9
1954,"Lincoln County",NA,NA,NA,NA,NA,NA,18201.2
1955,"Lincoln County",NA,NA,NA,NA,NA,NA,18250.5
1956,"Lincoln County",NA,NA,NA,NA,NA,NA,18299.8
1957,"Lincoln County",NA,NA,NA,NA,NA,NA,18349.1
1958,"Lincoln County",NA,NA,NA,NA,NA,NA,18398.4
1959,"Lincoln County",NA,NA,NA,NA,NA,NA,18447.7
1960,"Lincoln County","G2300150","Maine",23,230,15,150,18497
1961,"Lincoln County",NA,NA,NA,NA,NA,NA,18701
1962,"Lincoln County",NA,NA,NA,NA,NA,NA,18905
1963,"Lincoln County",NA,NA,NA,NA,NA,NA,19109
1964,"Lincoln County",NA,NA,NA,NA,NA,NA,19313
1965,"Lincoln County",NA,NA,NA,NA,NA,NA,19517
1966,"Lincoln County",NA,NA,NA,NA,NA,NA,19721
1967,"Lincoln County",NA,NA,NA,NA,NA,NA,19925
1968,"Lincoln County",NA,NA,NA,NA,NA,NA,20129
1969,"Lincoln County",NA,NA,NA,NA,NA,NA,20333
1970,"Lincoln County","G2300150","Maine",23,230,15,150,20537
1971,"Lincoln County",NA,NA,NA,NA,NA,NA,21052.4
1972,"Lincoln County",NA,NA,NA,NA,NA,NA,21567.8
1973,"Lincoln County",NA,NA,NA,NA,NA,NA,22083.2
1974,"Lincoln County",NA,NA,NA,NA,NA,NA,22598.6
1975,"Lincoln County",NA,NA,NA,NA,NA,NA,23114
1976,"Lincoln County",NA,NA,NA,NA,NA,NA,23629.4
1977,"Lincoln County",NA,NA,NA,NA,NA,NA,24144.8
1978,"Lincoln County",NA,NA,NA,NA,NA,NA,24660.2
1979,"Lincoln County",NA,NA,NA,NA,NA,NA,25175.6
1980,"Lincoln County","G2300150","Maine",23,230,15,150,25691
1981,"Lincoln County",NA,NA,NA,NA,NA,NA,26157.6
1982,"Lincoln County",NA,NA,NA,NA,NA,NA,26624.2
1983,"Lincoln County",NA,NA,NA,NA,NA,NA,27090.8
1984,"Lincoln County",NA,NA,NA,NA,NA,NA,27557.4
1985,"Lincoln County",NA,NA,NA,NA,NA,NA,28024
1986,"Lincoln County",NA,NA,NA,NA,NA,NA,28490.6
1987,"Lincoln County",NA,NA,NA,NA,NA,NA,28957.2
1988,"Lincoln County",NA,NA,NA,NA,NA,NA,29423.8
1989,"Lincoln County",NA,NA,NA,NA,NA,NA,29890.4
1990,"Lincoln County","G2300150","Maine",23,230,15,150,30357
1991,"Lincoln County",NA,NA,NA,NA,NA,NA,30682.9
1992,"Lincoln County",NA,NA,NA,NA,NA,NA,31008.8
1993,"Lincoln County",NA,NA,NA,NA,NA,NA,31334.7
1994,"Lincoln County",NA,NA,NA,NA,NA,NA,31660.6
1995,"Lincoln County",NA,NA,NA,NA,NA,NA,31986.5
1996,"Lincoln County",NA,NA,NA,NA,NA,NA,32312.4
1997,"Lincoln County",NA,NA,NA,NA,NA,NA,32638.3
1998,"Lincoln County",NA,NA,NA,NA,NA,NA,32964.2
1999,"Lincoln County",NA,NA,NA,NA,NA,NA,33290.1
2000,"Lincoln County","G2300150","Maine",23,230,15,150,33616
2001,"Lincoln County",NA,NA,NA,NA,NA,NA,33700.1
2002,"Lincoln County",NA,NA,NA,NA,NA,NA,33784.2
2003,"Lincoln County",NA,NA,NA,NA,NA,NA,33868.3
2004,"Lincoln County",NA,NA,NA,NA,NA,NA,33952.4
2005,"Lincoln County",NA,NA,NA,NA,NA,NA,34036.5
2006,"Lincoln County",NA,NA,NA,NA,NA,NA,34120.6
2007,"Lincoln County",NA,NA,NA,NA,NA,NA,34204.7
2008,"Lincoln County",NA,NA,NA,NA,NA,NA,34288.8
2009,"Lincoln County",NA,NA,NA,NA,NA,NA,34372.9
2010,"Lincoln County","G2300150","Maine",23,230,15,150,34457
2011,"Lincoln County",NA,NA,NA,NA,NA,NA,34535
2012,"Lincoln County",NA,NA,NA,NA,NA,NA,34613
2013,"Lincoln County",NA,NA,NA,NA,NA,NA,34691
2014,"Lincoln County",NA,NA,NA,NA,NA,NA,34769
2015,"Lincoln County",NA,NA,NA,NA,NA,NA,34847
2016,"Lincoln County",NA,NA,NA,NA,NA,NA,34925
2017,"Lincoln County",NA,NA,NA,NA,NA,NA,35003
2018,"Lincoln County",NA,NA,NA,NA,NA,NA,35081
2019,"Lincoln County",NA,NA,NA,NA,NA,NA,35159
2020,"Lincoln County","G2300150","Maine",23,230,15,150,35237
1950,"Oxford County","G2300170","Maine",23,230,17,170,44221
1951,"Oxford County",NA,NA,NA,NA,NA,NA,44233.4
1952,"Oxford County",NA,NA,NA,NA,NA,NA,44245.8
1953,"Oxford County",NA,NA,NA,NA,NA,NA,44258.2
1954,"Oxford County",NA,NA,NA,NA,NA,NA,44270.6
1955,"Oxford County",NA,NA,NA,NA,NA,NA,44283
1956,"Oxford County",NA,NA,NA,NA,NA,NA,44295.4
1957,"Oxford County",NA,NA,NA,NA,NA,NA,44307.8
1958,"Oxford County",NA,NA,NA,NA,NA,NA,44320.2
1959,"Oxford County",NA,NA,NA,NA,NA,NA,44332.6
1960,"Oxford County","G2300170","Maine",23,230,17,170,44345
1961,"Oxford County",NA,NA,NA,NA,NA,NA,44256.2
1962,"Oxford County",NA,NA,NA,NA,NA,NA,44167.4
1963,"Oxford County",NA,NA,NA,NA,NA,NA,44078.6
1964,"Oxford County",NA,NA,NA,NA,NA,NA,43989.8
1965,"Oxford County",NA,NA,NA,NA,NA,NA,43901
1966,"Oxford County",NA,NA,NA,NA,NA,NA,43812.2
1967,"Oxford County",NA,NA,NA,NA,NA,NA,43723.4
1968,"Oxford County",NA,NA,NA,NA,NA,NA,43634.6
1969,"Oxford County",NA,NA,NA,NA,NA,NA,43545.8
1970,"Oxford County","G2300170","Maine",23,230,17,170,43457
1971,"Oxford County",NA,NA,NA,NA,NA,NA,44008.1
1972,"Oxford County",NA,NA,NA,NA,NA,NA,44559.2
1973,"Oxford County",NA,NA,NA,NA,NA,NA,45110.3
1974,"Oxford County",NA,NA,NA,NA,NA,NA,45661.4
1975,"Oxford County",NA,NA,NA,NA,NA,NA,46212.5
1976,"Oxford County",NA,NA,NA,NA,NA,NA,46763.6
1977,"Oxford County",NA,NA,NA,NA,NA,NA,47314.7
1978,"Oxford County",NA,NA,NA,NA,NA,NA,47865.8
1979,"Oxford County",NA,NA,NA,NA,NA,NA,48416.9
1980,"Oxford County","G2300170","Maine",23,230,17,170,48968
1981,"Oxford County",NA,NA,NA,NA,NA,NA,49331.4
1982,"Oxford County",NA,NA,NA,NA,NA,NA,49694.8
1983,"Oxford County",NA,NA,NA,NA,NA,NA,50058.2
1984,"Oxford County",NA,NA,NA,NA,NA,NA,50421.6
1985,"Oxford County",NA,NA,NA,NA,NA,NA,50785
1986,"Oxford County",NA,NA,NA,NA,NA,NA,51148.4
1987,"Oxford County",NA,NA,NA,NA,NA,NA,51511.8
1988,"Oxford County",NA,NA,NA,NA,NA,NA,51875.2
1989,"Oxford County",NA,NA,NA,NA,NA,NA,52238.6
1990,"Oxford County","G2300170","Maine",23,230,17,170,52602
1991,"Oxford County",NA,NA,NA,NA,NA,NA,52817.3
1992,"Oxford County",NA,NA,NA,NA,NA,NA,53032.6
1993,"Oxford County",NA,NA,NA,NA,NA,NA,53247.9
1994,"Oxford County",NA,NA,NA,NA,NA,NA,53463.2
1995,"Oxford County",NA,NA,NA,NA,NA,NA,53678.5
1996,"Oxford County",NA,NA,NA,NA,NA,NA,53893.8
1997,"Oxford County",NA,NA,NA,NA,NA,NA,54109.1
1998,"Oxford County",NA,NA,NA,NA,NA,NA,54324.4
1999,"Oxford County",NA,NA,NA,NA,NA,NA,54539.7
2000,"Oxford County","G2300170","Maine",23,230,17,170,54755
2001,"Oxford County",NA,NA,NA,NA,NA,NA,55062.8
2002,"Oxford County",NA,NA,NA,NA,NA,NA,55370.6
2003,"Oxford County",NA,NA,NA,NA,NA,NA,55678.4
2004,"Oxford County",NA,NA,NA,NA,NA,NA,55986.2
2005,"Oxford County",NA,NA,NA,NA,NA,NA,56294
2006,"Oxford County",NA,NA,NA,NA,NA,NA,56601.8
2007,"Oxford County",NA,NA,NA,NA,NA,NA,56909.6
2008,"Oxford County",NA,NA,NA,NA,NA,NA,57217.4
2009,"Oxford County",NA,NA,NA,NA,NA,NA,57525.2
2010,"Oxford County","G2300170","Maine",23,230,17,170,57833
2011,"Oxford County",NA,NA,NA,NA,NA,NA,57827.4
2012,"Oxford County",NA,NA,NA,NA,NA,NA,57821.8
2013,"Oxford County",NA,NA,NA,NA,NA,NA,57816.2
2014,"Oxford County",NA,NA,NA,NA,NA,NA,57810.6
2015,"Oxford County",NA,NA,NA,NA,NA,NA,57805
2016,"Oxford County",NA,NA,NA,NA,NA,NA,57799.4
2017,"Oxford County",NA,NA,NA,NA,NA,NA,57793.8
2018,"Oxford County",NA,NA,NA,NA,NA,NA,57788.2
2019,"Oxford County",NA,NA,NA,NA,NA,NA,57782.6
2020,"Oxford County","G2300170","Maine",23,230,17,170,57777
1950,"Penobscot County","G2300190","Maine",23,230,19,190,108198
1951,"Penobscot County",NA,NA,NA,NA,NA,NA,110012.8
1952,"Penobscot County",NA,NA,NA,NA,NA,NA,111827.6
1953,"Penobscot County",NA,NA,NA,NA,NA,NA,113642.4
1954,"Penobscot County",NA,NA,NA,NA,NA,NA,115457.2
1955,"Penobscot County",NA,NA,NA,NA,NA,NA,117272
1956,"Penobscot County",NA,NA,NA,NA,NA,NA,119086.8
1957,"Penobscot County",NA,NA,NA,NA,NA,NA,120901.6
1958,"Penobscot County",NA,NA,NA,NA,NA,NA,122716.4
1959,"Penobscot County",NA,NA,NA,NA,NA,NA,124531.2
1960,"Penobscot County","G2300190","Maine",23,230,19,190,126346
1961,"Penobscot County",NA,NA,NA,NA,NA,NA,126250.7
1962,"Penobscot County",NA,NA,NA,NA,NA,NA,126155.4
1963,"Penobscot County",NA,NA,NA,NA,NA,NA,126060.1
1964,"Penobscot County",NA,NA,NA,NA,NA,NA,125964.8
1965,"Penobscot County",NA,NA,NA,NA,NA,NA,125869.5
1966,"Penobscot County",NA,NA,NA,NA,NA,NA,125774.2
1967,"Penobscot County",NA,NA,NA,NA,NA,NA,125678.9
1968,"Penobscot County",NA,NA,NA,NA,NA,NA,125583.6
1969,"Penobscot County",NA,NA,NA,NA,NA,NA,125488.3
1970,"Penobscot County","G2300190","Maine",23,230,19,190,125393
1971,"Penobscot County",NA,NA,NA,NA,NA,NA,126555.2
1972,"Penobscot County",NA,NA,NA,NA,NA,NA,127717.4
1973,"Penobscot County",NA,NA,NA,NA,NA,NA,128879.6
1974,"Penobscot County",NA,NA,NA,NA,NA,NA,130041.8
1975,"Penobscot County",NA,NA,NA,NA,NA,NA,131204
1976,"Penobscot County",NA,NA,NA,NA,NA,NA,132366.2
1977,"Penobscot County",NA,NA,NA,NA,NA,NA,133528.4
1978,"Penobscot County",NA,NA,NA,NA,NA,NA,134690.6
1979,"Penobscot County",NA,NA,NA,NA,NA,NA,135852.8
1980,"Penobscot County","G2300190","Maine",23,230,19,190,137015
1981,"Penobscot County",NA,NA,NA,NA,NA,NA,137973.6
1982,"Penobscot County",NA,NA,NA,NA,NA,NA,138932.2
1983,"Penobscot County",NA,NA,NA,NA,NA,NA,139890.8
1984,"Penobscot County",NA,NA,NA,NA,NA,NA,140849.4
1985,"Penobscot County",NA,NA,NA,NA,NA,NA,141808
1986,"Penobscot County",NA,NA,NA,NA,NA,NA,142766.6
1987,"Penobscot County",NA,NA,NA,NA,NA,NA,143725.2
1988,"Penobscot County",NA,NA,NA,NA,NA,NA,144683.8
1989,"Penobscot County",NA,NA,NA,NA,NA,NA,145642.4
1990,"Penobscot County","G2300190","Maine",23,230,19,190,146601
1991,"Penobscot County",NA,NA,NA,NA,NA,NA,146432.8
1992,"Penobscot County",NA,NA,NA,NA,NA,NA,146264.6
1993,"Penobscot County",NA,NA,NA,NA,NA,NA,146096.4
1994,"Penobscot County",NA,NA,NA,NA,NA,NA,145928.2
1995,"Penobscot County",NA,NA,NA,NA,NA,NA,145760
1996,"Penobscot County",NA,NA,NA,NA,NA,NA,145591.8
1997,"Penobscot County",NA,NA,NA,NA,NA,NA,145423.6
1998,"Penobscot County",NA,NA,NA,NA,NA,NA,145255.4
1999,"Penobscot County",NA,NA,NA,NA,NA,NA,145087.2
2000,"Penobscot County","G2300190","Maine",23,230,19,190,144919
2001,"Penobscot County",NA,NA,NA,NA,NA,NA,145819.4
2002,"Penobscot County",NA,NA,NA,NA,NA,NA,146719.8
2003,"Penobscot County",NA,NA,NA,NA,NA,NA,147620.2
2004,"Penobscot County",NA,NA,NA,NA,NA,NA,148520.6
2005,"Penobscot County",NA,NA,NA,NA,NA,NA,149421
2006,"Penobscot County",NA,NA,NA,NA,NA,NA,150321.4
2007,"Penobscot County",NA,NA,NA,NA,NA,NA,151221.8
2008,"Penobscot County",NA,NA,NA,NA,NA,NA,152122.2
2009,"Penobscot County",NA,NA,NA,NA,NA,NA,153022.6
2010,"Penobscot County","G2300190","Maine",23,230,19,190,153923
2011,"Penobscot County",NA,NA,NA,NA,NA,NA,153750.6
2012,"Penobscot County",NA,NA,NA,NA,NA,NA,153578.2
2013,"Penobscot County",NA,NA,NA,NA,NA,NA,153405.8
2014,"Penobscot County",NA,NA,NA,NA,NA,NA,153233.4
2015,"Penobscot County",NA,NA,NA,NA,NA,NA,153061
2016,"Penobscot County",NA,NA,NA,NA,NA,NA,152888.6
2017,"Penobscot County",NA,NA,NA,NA,NA,NA,152716.2
2018,"Penobscot County",NA,NA,NA,NA,NA,NA,152543.8
2019,"Penobscot County",NA,NA,NA,NA,NA,NA,152371.4
2020,"Penobscot County","G2300190","Maine",23,230,19,190,152199
1950,"Piscataquis County","G2300210","Maine",23,230,21,210,18617
1951,"Piscataquis County",NA,NA,NA,NA,NA,NA,18493.2
1952,"Piscataquis County",NA,NA,NA,NA,NA,NA,18369.4
1953,"Piscataquis County",NA,NA,NA,NA,NA,NA,18245.6
1954,"Piscataquis County",NA,NA,NA,NA,NA,NA,18121.8
1955,"Piscataquis County",NA,NA,NA,NA,NA,NA,17998
1956,"Piscataquis County",NA,NA,NA,NA,NA,NA,17874.2
1957,"Piscataquis County",NA,NA,NA,NA,NA,NA,17750.4
1958,"Piscataquis County",NA,NA,NA,NA,NA,NA,17626.6
1959,"Piscataquis County",NA,NA,NA,NA,NA,NA,17502.8
1960,"Piscataquis County","G2300210","Maine",23,230,21,210,17379
1961,"Piscataquis County",NA,NA,NA,NA,NA,NA,17269.6
1962,"Piscataquis County",NA,NA,NA,NA,NA,NA,17160.2
1963,"Piscataquis County",NA,NA,NA,NA,NA,NA,17050.8
1964,"Piscataquis County",NA,NA,NA,NA,NA,NA,16941.4
1965,"Piscataquis County",NA,NA,NA,NA,NA,NA,16832
1966,"Piscataquis County",NA,NA,NA,NA,NA,NA,16722.6
1967,"Piscataquis County",NA,NA,NA,NA,NA,NA,16613.2
1968,"Piscataquis County",NA,NA,NA,NA,NA,NA,16503.8
1969,"Piscataquis County",NA,NA,NA,NA,NA,NA,16394.4
1970,"Piscataquis County","G2300210","Maine",23,230,21,210,16285
1971,"Piscataquis County",NA,NA,NA,NA,NA,NA,16419.9
1972,"Piscataquis County",NA,NA,NA,NA,NA,NA,16554.8
1973,"Piscataquis County",NA,NA,NA,NA,NA,NA,16689.7
1974,"Piscataquis County",NA,NA,NA,NA,NA,NA,16824.6
1975,"Piscataquis County",NA,NA,NA,NA,NA,NA,16959.5
1976,"Piscataquis County",NA,NA,NA,NA,NA,NA,17094.4
1977,"Piscataquis County",NA,NA,NA,NA,NA,NA,17229.3
1978,"Piscataquis County",NA,NA,NA,NA,NA,NA,17364.2
1979,"Piscataquis County",NA,NA,NA,NA,NA,NA,17499.1
1980,"Piscataquis County","G2300210","Maine",23,230,21,210,17634
1981,"Piscataquis County",NA,NA,NA,NA,NA,NA,17735.9
1982,"Piscataquis County",NA,NA,NA,NA,NA,NA,17837.8
1983,"Piscataquis County",NA,NA,NA,NA,NA,NA,17939.7
1984,"Piscataquis County",NA,NA,NA,NA,NA,NA,18041.6
1985,"Piscataquis County",NA,NA,NA,NA,NA,NA,18143.5
1986,"Piscataquis County",NA,NA,NA,NA,NA,NA,18245.4
1987,"Piscataquis County",NA,NA,NA,NA,NA,NA,18347.3
1988,"Piscataquis County",NA,NA,NA,NA,NA,NA,18449.2
1989,"Piscataquis County",NA,NA,NA,NA,NA,NA,18551.1
1990,"Piscataquis County","G2300210","Maine",23,230,21,210,18653
1991,"Piscataquis County",NA,NA,NA,NA,NA,NA,18511.2
1992,"Piscataquis County",NA,NA,NA,NA,NA,NA,18369.4
1993,"Piscataquis County",NA,NA,NA,NA,NA,NA,18227.6
1994,"Piscataquis County",NA,NA,NA,NA,NA,NA,18085.8
1995,"Piscataquis County",NA,NA,NA,NA,NA,NA,17944
1996,"Piscataquis County",NA,NA,NA,NA,NA,NA,17802.2
1997,"Piscataquis County",NA,NA,NA,NA,NA,NA,17660.4
1998,"Piscataquis County",NA,NA,NA,NA,NA,NA,17518.6
1999,"Piscataquis County",NA,NA,NA,NA,NA,NA,17376.8
2000,"Piscataquis County","G2300210","Maine",23,230,21,210,17235
2001,"Piscataquis County",NA,NA,NA,NA,NA,NA,17265
2002,"Piscataquis County",NA,NA,NA,NA,NA,NA,17295
2003,"Piscataquis County",NA,NA,NA,NA,NA,NA,17325
2004,"Piscataquis County",NA,NA,NA,NA,NA,NA,17355
2005,"Piscataquis County",NA,NA,NA,NA,NA,NA,17385
2006,"Piscataquis County",NA,NA,NA,NA,NA,NA,17415
2007,"Piscataquis County",NA,NA,NA,NA,NA,NA,17445
2008,"Piscataquis County",NA,NA,NA,NA,NA,NA,17475
2009,"Piscataquis County",NA,NA,NA,NA,NA,NA,17505
2010,"Piscataquis County","G2300210","Maine",23,230,21,210,17535
2011,"Piscataquis County",NA,NA,NA,NA,NA,NA,17461.5
2012,"Piscataquis County",NA,NA,NA,NA,NA,NA,17388
2013,"Piscataquis County",NA,NA,NA,NA,NA,NA,17314.5
2014,"Piscataquis County",NA,NA,NA,NA,NA,NA,17241
2015,"Piscataquis County",NA,NA,NA,NA,NA,NA,17167.5
2016,"Piscataquis County",NA,NA,NA,NA,NA,NA,17094
2017,"Piscataquis County",NA,NA,NA,NA,NA,NA,17020.5
2018,"Piscataquis County",NA,NA,NA,NA,NA,NA,16947
2019,"Piscataquis County",NA,NA,NA,NA,NA,NA,16873.5
2020,"Piscataquis County","G2300210","Maine",23,230,21,210,16800
1950,"Sagadahoc County","G2300230","Maine",23,230,23,230,20911
1951,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21099.2
1952,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21287.4
1953,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21475.6
1954,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21663.8
1955,"Sagadahoc County",NA,NA,NA,NA,NA,NA,21852
1956,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22040.2
1957,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22228.4
1958,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22416.6
1959,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22604.8
1960,"Sagadahoc County","G2300230","Maine",23,230,23,230,22793
1961,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22858.9
1962,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22924.8
1963,"Sagadahoc County",NA,NA,NA,NA,NA,NA,22990.7
1964,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23056.6
1965,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23122.5
1966,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23188.4
1967,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23254.3
1968,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23320.2
1969,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23386.1
1970,"Sagadahoc County","G2300230","Maine",23,230,23,230,23452
1971,"Sagadahoc County",NA,NA,NA,NA,NA,NA,23986.3
1972,"Sagadahoc County",NA,NA,NA,NA,NA,NA,24520.6
1973,"Sagadahoc County",NA,NA,NA,NA,NA,NA,25054.9
1974,"Sagadahoc County",NA,NA,NA,NA,NA,NA,25589.2
1975,"Sagadahoc County",NA,NA,NA,NA,NA,NA,26123.5
1976,"Sagadahoc County",NA,NA,NA,NA,NA,NA,26657.8
1977,"Sagadahoc County",NA,NA,NA,NA,NA,NA,27192.1
1978,"Sagadahoc County",NA,NA,NA,NA,NA,NA,27726.4
1979,"Sagadahoc County",NA,NA,NA,NA,NA,NA,28260.7
1980,"Sagadahoc County","G2300230","Maine",23,230,23,230,28795
1981,"Sagadahoc County",NA,NA,NA,NA,NA,NA,29269
1982,"Sagadahoc County",NA,NA,NA,NA,NA,NA,29743
1983,"Sagadahoc County",NA,NA,NA,NA,NA,NA,30217
1984,"Sagadahoc County",NA,NA,NA,NA,NA,NA,30691
1985,"Sagadahoc County",NA,NA,NA,NA,NA,NA,31165
1986,"Sagadahoc County",NA,NA,NA,NA,NA,NA,31639
1987,"Sagadahoc County",NA,NA,NA,NA,NA,NA,32113
1988,"Sagadahoc County",NA,NA,NA,NA,NA,NA,32587
1989,"Sagadahoc County",NA,NA,NA,NA,NA,NA,33061
1990,"Sagadahoc County","G2300230","Maine",23,230,23,230,33535
1991,"Sagadahoc County",NA,NA,NA,NA,NA,NA,33702.9
1992,"Sagadahoc County",NA,NA,NA,NA,NA,NA,33870.8
1993,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34038.7
1994,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34206.6
1995,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34374.5
1996,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34542.4
1997,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34710.3
1998,"Sagadahoc County",NA,NA,NA,NA,NA,NA,34878.2
1999,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35046.1
2000,"Sagadahoc County","G2300230","Maine",23,230,23,230,35214
2001,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35221.9
2002,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35229.8
2003,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35237.7
2004,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35245.6
2005,"Sagadahoc County",NA,NA,NA,NA,NA,NA,35253.5
