"Year","COUNTY","Population"
2010,"Somerset County",52228
2011,"Somerset County",52052.9
2012,"Somerset County",51877.8
2013,"Somerset County",51702.7
2014,"Somerset County",51527.6
2015,"Somerset County",51352.5
2016,"Somerset County",51177.4
2017,"Somerset County",51002.3
2018,"Somerset County",50827.2
2019,"Somerset County",50652.1
2020,"Somerset County",50477
1950,"Waldo County",21687
1951,"Waldo County",21781.5
1952,"Waldo County",21876
1953,"Waldo County",21970.5
1954,"Waldo County",22065
1955,"Waldo County",22159.5
1956,"Waldo County",22254
1957,"Waldo County",22348.5
1958,"Waldo County",22443
1959,"Waldo County",22537.5
1960,"Waldo County",22632
1961,"Waldo County",22701.6
1962,"Waldo County",22771.2
1963,"Waldo County",22840.8
1964,"Waldo County",22910.4
1965,"Waldo County",22980
1966,"Waldo County",23049.6
1967,"Waldo County",23119.2
1968,"Waldo County",23188.8
1969,"Waldo County",23258.4
1970,"Waldo County",23328
1971,"Waldo County",23836.6
1972,"Waldo County",24345.2
1973,"Waldo County",24853.8
1974,"Waldo County",25362.4
1975,"Waldo County",25871
1976,"Waldo County",26379.6
1977,"Waldo County",26888.2
1978,"Waldo County",27396.8
1979,"Waldo County",27905.4
1980,"Waldo County",28414
1981,"Waldo County",28874.4
1982,"Waldo County",29334.8
1983,"Waldo County",29795.2
1984,"Waldo County",30255.6
1985,"Waldo County",30716
1986,"Waldo County",31176.4
1987,"Waldo County",31636.8
1988,"Waldo County",32097.2
1989,"Waldo County",32557.6
1990,"Waldo County",33018
1991,"Waldo County",33344.2
1992,"Waldo County",33670.4
1993,"Waldo County",33996.6
1994,"Waldo County",34322.8
1995,"Waldo County",34649
1996,"Waldo County",34975.2
1997,"Waldo County",35301.4
1998,"Waldo County",35627.6
1999,"Waldo County",35953.8
2000,"Waldo County",36280
2001,"Waldo County",36530.6
2002,"Waldo County",36781.2
2003,"Waldo County",37031.8
2004,"Waldo County",37282.4
2005,"Waldo County",37533
2006,"Waldo County",37783.6
2007,"Waldo County",38034.2
2008,"Waldo County",38284.8
2009,"Waldo County",38535.4
2010,"Waldo County",38786
2011,"Waldo County",38868.1
2012,"Waldo County",38950.2
2013,"Waldo County",39032.3
2014,"Waldo County",39114.4
2015,"Waldo County",39196.5
2016,"Waldo County",39278.6
2017,"Waldo County",39360.7
2018,"Waldo County",39442.8
2019,"Waldo County",39524.9
2020,"Waldo County",39607
1950,"Washington County",35187
1951,"Washington County",34959.1
1952,"Washington County",34731.2
1953,"Washington County",34503.3
1954,"Washington County",34275.4
1955,"Washington County",34047.5
1956,"Washington County",33819.6
1957,"Washington County",33591.7
1958,"Washington County",33363.8
1959,"Washington County",33135.9
1960,"Washington County",32908
1961,"Washington County",32603.1
1962,"Washington County",32298.2
1963,"Washington County",31993.3
1964,"Washington County",31688.4
1965,"Washington County",31383.5
1966,"Washington County",31078.6
1967,"Washington County",30773.7
1968,"Washington County",30468.8
1969,"Washington County",30163.9
1970,"Washington County",29859
1971,"Washington County",30369.4
1972,"Washington County",30879.8
1973,"Washington County",31390.2
1974,"Washington County",31900.6
1975,"Washington County",32411
1976,"Washington County",32921.4
1977,"Washington County",33431.8
1978,"Washington County",33942.2
1979,"Washington County",34452.6
1980,"Washington County",34963
1981,"Washington County",34997.5
1982,"Washington County",35032
1983,"Washington County",35066.5
1984,"Washington County",35101
1985,"Washington County",35135.5
1986,"Washington County",35170
1987,"Washington County",35204.5
1988,"Washington County",35239
1989,"Washington County",35273.5
1990,"Washington County",35308
1991,"Washington County",35171.3
1992,"Washington County",35034.6
1993,"Washington County",34897.9
1994,"Washington County",34761.2
1995,"Washington County",34624.5
1996,"Washington County",34487.8
1997,"Washington County",34351.1
1998,"Washington County",34214.4
1999,"Washington County",34077.7
2000,"Washington County",33941
2001,"Washington County",33832.5
2002,"Washington County",33724
2003,"Washington County",33615.5
2004,"Washington County",33507
2005,"Washington County",33398.5
2006,"Washington County",33290
2007,"Washington County",33181.5
2008,"Washington County",33073
2009,"Washington County",32964.5
2010,"Washington County",32856
2011,"Washington County",32679.9
2012,"Washington County",32503.8
2013,"Washington County",32327.7
2014,"Washington County",32151.6
2015,"Washington County",31975.5
2016,"Washington County",31799.4
2017,"Washington County",31623.3
2018,"Washington County",31447.2
2019,"Washington County",31271.1
2020,"Washington County",31095
1950,"York County",93541
1951,"York County",94127.1
1952,"York County",94713.2
1953,"York County",95299.3
1954,"York County",95885.4
1955,"York County",96471.5
1956,"York County",97057.6
1957,"York County",97643.7
1958,"York County",98229.8
1959,"York County",98815.9
1960,"York County",99402
1961,"York County",100619.4
1962,"York County",101836.8
1963,"York County",103054.2
1964,"York County",104271.6
1965,"York County",105489
1966,"York County",106706.4
1967,"York County",107923.8
1968,"York County",109141.2
1969,"York County",110358.6
1970,"York County",111576
1971,"York County",114385
1972,"York County",117194
1973,"York County",120003
1974,"York County",122812
1975,"York County",125621
1976,"York County",128430
1977,"York County",131239
1978,"York County",134048
1979,"York County",136857
1980,"York County",139666
1981,"York County",142158.1
1982,"York County",144650.2
1983,"York County",147142.3
1984,"York County",149634.4
1985,"York County",152126.5
1986,"York County",154618.6
1987,"York County",157110.7
1988,"York County",159602.8
1989,"York County",162094.9
1990,"York County",164587
1991,"York County",166802.5
1992,"York County",169018
1993,"York County",171233.5
1994,"York County",173449
1995,"York County",175664.5
1996,"York County",177880
1997,"York County",180095.5
1998,"York County",182311
1999,"York County",184526.5
2000,"York County",186742
2001,"York County",187780.9
2002,"York County",188819.8
2003,"York County",189858.7
2004,"York County",190897.6
2005,"York County",191936.5
2006,"York County",192975.4
2007,"York County",194014.3
2008,"York County",195053.2
2009,"York County",196092.1
2010,"York County",197131
2011,"York County",198615.1
2012,"York County",200099.2
2013,"York County",201583.3
2014,"York County",203067.4
2015,"York County",204551.5
2016,"York County",206035.6
2017,"York County",207519.7
2018,"York County",209003.8
2019,"York County",210487.9
2020,"York County",211972
